year, month, diesel, kush, purps, blue.dream, haze, girlscout, jack.herer, cheese, white.widow, headband
2014, 03, 281, 296, 277, NA, 347, NA, 360, NA, NA, NA
2014, 04, 345, 301, 310, NA, 296, NA, NA, 278, NA, NA
2014, 05, 289, 313, 300, 271, NA, 370, NA, NA, NA, NA
2014, 06, 321, 293, 271, 298, NA, 327, NA, NA, NA, NA
2014, 07, 287, 305, 324, 297, NA, 293, NA, NA, NA, NA
2014, 08, 377, 305, 354, 330, NA, 351, NA, NA, NA, NA
2014, 09, 302, 306, 317, 339, NA, 260, NA, NA, NA, NA
2014, 10, 283, 318, 328, 283, NA, 417, NA, NA, NA, NA
2014, 11, 315, 304, 322, 280, 330, NA, NA, NA, NA, NA
2014, 12, 321, 293, 271, 298, NA, 327, NA, NA, NA, NA
2015, 01, 335, 282, 358, 300, NA, 341, NA, NA, NA, NA
2015, 02, 335, 282, NA, 263, NA, 285, NA, 269, NA, NA
2015, 03, 347, 299, NA, 263, 367, 285, NA, NA, NA, NA
2015, 04, 328, 306, 330, 305, NA, 315, NA, NA, NA, NA
2015, 05, 337, 308, 313, 292, NA, 330, NA, NA, NA, NA
2015, 06, 289, 290, 280, 331, NA, 334, NA, NA, NA, NA
2015, 07, 313, 302, 327, 328, NA, 270, NA, NA, NA, NA
2015, 08, 309, 320, 301, 318, NA, 263, NA, NA, NA, NA
2015, 09, 347, 325, NA, 320, 277, 342, NA, NA, NA, NA
2015, 10, 318, 320, 308, 322, NA, 316, NA, NA, NA, NA
2015, 11, 338, 343, NA, 318, 357, 288, NA, NA, NA, NA
2015, 12, 322, 323, NA, 361, NA, 350, NA, NA, 377, NA
2016, 01, 322, 333, 330, 284, NA, 253, NA, NA, NA, NA
2016, 02, 360, 320, NA, 275, NA, 315, NA, NA, NA, 355
2016, 03, 365, 360, NA, 260, 378, 296, NA, NA, NA, NA
2016, 04, 303, 341, NA, 320, 340, 305, NA, NA, NA, NA
2016, 05, 379, 313, NA, 315, 362, 307, NA, NA, NA, NA
2016, 06, 337, 351, NA, 371, 350, 332, NA, NA, NA, NA
2016, 07, 332, 318, 312, 336, NA, 314, NA, NA, NA, NA