Year, Month, Index, Kind, Mids, Schwag
2014, 03, 286, 389, 269, 96
2014, 04, 304, 381, 272, 90
2014, 05, 314, 384, 265, 107
2014, 06, 291, 374, 258, 103
2014, 07, 284, 375, 273, 100
2014, 08, 334, 414, 292, 105
2014, 09, 309, 372, 284, 103
2014, 10, 309, 377, 248, 105
2014, 11, 307, 366, 282, 108
2014, 12, 284, 362, 270, 99
2015, 01, 303, 373, 286, 110
2015, 02, 283, 364, 273, 92
2015, 03, 308, 370, 284, 97
2015, 04, 308, 372, 287, 108
2015, 05, 310, 373, 275, 98
2015, 06, 292, 363, 280, 107
2015, 07, 287, 373, 263, 98
2015, 08, 296, 371, 272, 98
2015, 09, 296, 372, 255, 100
2015, 10, 299, 375, 275, 105
2015, 11, 322, 382, 272, 107
2015, 12, 313, 392, 277, 97
2016, 01, 298, 369, 259, 117
2016, 02, 305, 371, 273, 112
2016, 03, 292, 379, 253, 105
2016, 04, 305, 372, 263, 127
2016, 05, 322, 368, 248, 120
2016, 06, 328, 378, 281, 110
2016, 07, 302, 374, 265, 95